45
  0.00000000000000E+00  0.00000000000000E+00  0.00000000000000E+00
  1.00000000000000E+00  0.00000000000000E+00  0.00000000000000E+00
  2.00000000000000E+00  0.00000000000000E+00  0.00000000000000E+00
  0.00000000000000E+00  1.00000000000000E+00  0.00000000000000E+00
  1.00000000000000E+00  1.00000000000000E+00  0.00000000000000E+00
  2.00000000000000E+00  1.00000000000000E+00  0.00000000000000E+00
  0.00000000000000E+00  0.00000000000000E+00  1.00000000000000E+00
  1.00000000000000E+00  0.00000000000000E+00  1.00000000000000E+00
  2.00000000000000E+00  0.00000000000000E+00  1.00000000000000E+00
  0.00000000000000E+00  1.00000000000000E+00  1.00000000000000E+00
  1.00000000000000E+00  1.00000000000000E+00  1.00000000000000E+00
  2.00000000000000E+00  1.00000000000000E+00  1.00000000000000E+00
  5.00000000000000E-01  0.00000000000000E+00  0.00000000000000E+00
  1.00000000000000E+00  5.00000000000000E-01  0.00000000000000E+00
  5.00000000000000E-01  1.00000000000000E+00  0.00000000000000E+00
  0.00000000000000E+00  5.00000000000000E-01  0.00000000000000E+00
  5.00000000000000E-01  0.00000000000000E+00  1.00000000000000E+00
  1.00000000000000E+00  5.00000000000000E-01  1.00000000000000E+00
  5.00000000000000E-01  1.00000000000000E+00  1.00000000000000E+00
  0.00000000000000E+00  5.00000000000000E-01  1.00000000000000E+00
  0.00000000000000E+00  0.00000000000000E+00  5.00000000000000E-01
  1.00000000000000E+00  0.00000000000000E+00  5.00000000000000E-01
  1.00000000000000E+00  1.00000000000000E+00  5.00000000000000E-01
  0.00000000000000E+00  1.00000000000000E+00  5.00000000000000E-01
  5.00000000000000E-01  5.00000000000000E-01  0.00000000000000E+00
  5.00000000000000E-01  5.00000000000000E-01  1.00000000000000E+00
  5.00000000000000E-01  0.00000000000000E+00  5.00000000000000E-01
  1.00000000000000E+00  5.00000000000000E-01  5.00000000000000E-01
  5.00000000000000E-01  1.00000000000000E+00  5.00000000000000E-01
  0.00000000000000E+00  5.00000000000000E-01  5.00000000000000E-01
  5.00000000000000E-01  5.00000000000000E-01  5.00000000000000E-01
  1.50000000000000E+00  0.00000000000000E+00  0.00000000000000E+00
  2.00000000000000E+00  5.00000000000000E-01  0.00000000000000E+00
  1.50000000000000E+00  1.00000000000000E+00  0.00000000000000E+00
  1.50000000000000E+00  0.00000000000000E+00  1.00000000000000E+00
  2.00000000000000E+00  5.00000000000000E-01  1.00000000000000E+00
  1.50000000000000E+00  1.00000000000000E+00  1.00000000000000E+00
  2.00000000000000E+00  0.00000000000000E+00  5.00000000000000E-01
  2.00000000000000E+00  1.00000000000000E+00  5.00000000000000E-01
  1.50000000000000E+00  5.00000000000000E-01  0.00000000000000E+00
  1.50000000000000E+00  5.00000000000000E-01  1.00000000000000E+00
  1.50000000000000E+00  0.00000000000000E+00  5.00000000000000E-01
  2.00000000000000E+00  5.00000000000000E-01  5.00000000000000E-01
  1.50000000000000E+00  1.00000000000000E+00  5.00000000000000E-01
  1.50000000000000E+00  5.00000000000000E-01  5.00000000000000E-01
